Rank,BIB,Last Name,First Name,Country,Team,Age,Result
1,11,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,37,3:42:10
2,65,MACKAIJ,Floortje,NED,TEAM SUNWEB,24,+01:39
3,176,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,23,+01:43
4,111,PALADIN,Soraya,ITA,ALE CIPOLLINI,26,+01:43
5,62,BRAND,Lucinda,NED,TEAM SUNWEB,30,+01:43
6,41,NIEWIADOMA,Katarzyna,POL,CANYON / /SRAM RACING,25,+01:43
7,31,DEIGNAN,Elizabeth,GBR,TREK - SEGAFREDO,31,+01:43
8,42,AMIALIUSIK,Alena,BLR,CANYON / /SRAM RACING,30,+01:43
9,32,LONGO BORGHINI,Elisa,ITA,TREK - SEGAFREDO,28,+01:43
10,131,LUDWIG,Cecilie Uttrup,DEN,BIGLA,24,+01:43
11,15,SPRATT,Amanda,AUS,MITCHELTON SCOTT,32,+01:43
12,1,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,29,+01:43
13,34,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,32,+01:43
14,5,LANGVAD,Annika,DEN,BOELS DOLMANS CYCLINGTEAM,35,+01:43
15,151,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,26,+01:55
16,4,HALL,Katharine,USA,BOELS DOLMANS CYCLINGTEAM,32,+01:55
17,121,GARCIA CAÑELLAS,Margarita Victo,ESP,MOVISTAR TEAM WOMEN,35,+02:05
18,63,KIRCHMANN,Leah,CAN,TEAM SUNWEB,29,+02:47
19,122,BIANNIC,Aude,FRA,MOVISTAR TEAM WOMEN,28,+02:47
20,103,BERTIZZOLO,Sofia,ITA,TEAM VIRTU CYCLING,22,+02:47
21,26,VOS,Marianne,NED,CCC - LIV,32,+02:47
22,53,FAHLIN,Emilia,SWE,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,31,+02:47
23,33,NEFF,Jolanda,SUI,TREK - SEGAFREDO,26,+02:47
24,124,JASINSKA,Malgorzata,POL,MOVISTAR TEAM WOMEN,35,+02:47
25,181,GUDERZO,Tatiana,ITA,BEPINK,35,+02:47
26,135,HARVEY,Mikayla,NZL,BIGLA,21,+02:47
27,191,CAVALLI,Marta,ITA,VALCAR CYLANCE CYCLING,21,+02:47
28,74,SANTESTEBAN GONZALEZ,Ane,ESP,WNT ROTOR PRO CYCLING TEAM,29,+02:47
29,221,NOVOLODSKAYA,Maria,RUS,COGEAS METTLER LOOK PRO CYCLING TEAM,20,+02:47
30,126,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,25,+02:47
31,64,LABOUS,Juliette,FRA,TEAM SUNWEB,21,+02:47
32,56,MUZIC,Evita,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,20,+03:06
33,174,KNETEMANN,Roxane,NED,PARKHOTEL VALKENBURG,32,+04:18
34,156,VAN DEN STEEN,Kelly,BEL,LOTTO SOUDAL LADIES,24,+04:18
35,163,BORGHESI,Letizia,ITA,AROMITALIA - BASSO BIKES - VAIANO,21,+04:18
36,54,GUILMAN,Victorie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,23,+04:18
37,133,CHABBEY,Elise,SUI,BIGLA,26,+04:18
38,105,KOSTER,Anouska,NED,TEAM VIRTU CYCLING,26,+04:18
39,134,NOSKOVA,Nikola,CZE,BIGLA,22,+04:18
40,223,CHRISTOFOROU,Antri,CYP,COGEAS METTLER LOOK PRO CYCLING TEAM,27,+04:18
41,23,MARKUS,Riejanne,NED,CCC - LIV,25,+04:18
42,51,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,32,+04:18
43,3,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,25,+04:18
44,6,PIETERS,Amy,NED,BOELS DOLMANS CYCLINGTEAM,28,+04:18
45,2,BLAAK,Chantal,NED,BOELS DOLMANS CYCLINGTEAM,30,+04:21
46,35,WILES,Tayler,USA,TREK - SEGAFREDO,30,+05:56
47,184,RAGUSA,Katia,ITA,BEPINK,22,+06:16
48,132,BANKS,Elizabeth,GBR,BIGLA,29,+06:16
49,25,SKALNIAK,Agnieszka,POL,CCC - LIV,22,+06:16
50,194,GUAZZINI,Vittoria,ITA,VALCAR CYLANCE CYCLING,19,+06:16
51,82,JACKSON,Alison,CAN,TEAM TIBCO - SILICON VALLEY BANK,31,+06:16
52,146,SHEKEL,Olga,UKR,ASTANA WOMEN'S TEAM,25,+06:16
53,94,NILSSON,Hanna,SWE,BTC CITY LJUBLJANA,27,+06:16
54,213,GANZAR,Leigh Ann,USA,,30,+06:16
55,153,CHRISTMAS,Danielle,GBR,LOTTO SOUDAL LADIES,32,+06:16
56,72,HAMMES,Kathrin,GER,WNT ROTOR PRO CYCLING TEAM,30,+06:16
57,234,SICOT,Marion,FRA,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,27,+06:16
